,pros,negs,profession,day,month,year
0,"great project, best esg team","may be stressful, but ok overall",Senior Consultant,9,Dec,2021
1,It is a Good company,The company has none cons,Assistant Manager,9,Dec,2021
2,"Endless opportunities, working culture that fosters autonomy and ownership. As with anything, not everything is perfect, but they try hard to provide at best for their employees and treat everyone with respect.",Salary is a bit of a compromise,Senior Consultant II,9,Dec,2021
3,"Great work life balance, team culture, and people. Get to work on exciting and challenging engagements.",Sometimes you have to wait for a project that matches the skills you want to work on / develop. Can be put on a project that isn’t as fun… really depends on the manager on that project,Consultant,9,Dec,2021
4,Incentives and competitive pay(they will suck your blood for the pay they give),No work life balance.Most of tbe projects are short term projects with 3-6 months duration. They provide unrealistic deadline to client to win the project and will suck your blood. Manager just says from next time he will plan properly just for name sake and repeats the same poor planning to win the project. You will have to work every day 12 hours to complete it. Your health will be spoiled and will regret joining the company.Dont join by seeing the big4 name...Most of the projects will suck blood from you ..stay away from this company if you want work life balance. I regret joining Deloitte,Consultant,14,Jan,2022
5,Good because it be big4 n that,Not bad because it pay money,Tax Graduate,1,Dec,2021
6,"Good work environment and culture, supportive people around.",no such cons as of now,Associate Analyst,8,Dec,2021
7,Company is well organized in all perspective.,Company has no work life balance,Analyst,8,Dec,2021
8,Big 4 title and fast promotion to manager,Staff are not competent in hk,Senior Associate,8,Dec,2021
9,"Family-friendliness, Low hierarchy, Great people",Difficult working with other Deloittes,Senior Manager,9,Dec,2021
10,Good networks lots of events,Got stuck on a consulting project for over a year I don’t like and can’t get off of it easily.,Analyst,1,Jun,2022
11,Great team work - good people,Lack of trust with leadership,Manager,17,May,2022
12,Large organization with many resources,was changing very quickly when I was there,Manager,17,May,2022
13,Large company with great networking opportunities,"Office politics, Low salaries, Low bonus and 401k match is poor",Business Analyst,17,May,2022
14,You are basically in a rotational program where you get to sample various industries.,Must do the work handed to you even if it goes against your ethics/moral judgement.,Business Analyst,29,May,2022
15,"- Smart, kind, authentic colleagues and leadership (99% of people I've worked with I'd like to work with again)
- Great place if you want a clear track for advancement, eager to learn new things through formal learning paths and your daily teams
- Opportunities to pursue different paths if/when you choose","- Firehose of a start - lots to do, learn, networking - if you can make it through the first 6-12 months you'll find a good pace
- As with anywhere, you need to set boundaries or you'll burnout by saying ""yes"" to everything - leaders/teams want to know what your boundaries are so it's ok to verbalize and set them, but if you say yes to everything people will continue to come to you with new/additional things","Senior Manager, Client Services",12,May,2022
16,"I've had a good experience with Deloitte, but I also feel like I have because I fell into the right project and right ""crowd"". I like their organized approach to training which is the best of the Big 4 consulting firms and accessibility to leadership.","Your experience can be terrible if you have a bad project and bad leadership, as well as a bad coach that can't get you out of that situation and advocate for you.",Manager,16,May,2022
17,benefits are pretty dang good,No year end transparency from leadership,Analyst,16,May,2022
18,"Fun work environment, young office","Over worked, not much flexibility",Tax Associate,28,May,2022
19,"1. Get exposed to large clients
2. Fast promotion","1. Long working hours
2. High turnover rate",Tax Consultant II,14,May,2022
20,"Skills developed, learning resources, pay, opportunities to get involved","Disengaged 1st level managers, poor development could be due to virtual environment",Senior Consultant,15,May,2022
21,Great place to work for.,No cons as far as I remember,Tax Senior,15,May,2022
