,pros,negs,profession,day,month,year
0,"Flexibility, benefits, compensation, Trainings, etc","Busy projects, too much work, etc, etc, etc",Consultant,7,Dec,2021
1,"Good work culture, excellent team",Super hectic during tax season,Tax Consultant I,7,Dec,2021
2,"Work culture, employee benefits, people","Avg. compensation compared to competitors, work hours",Manager,7,Dec,2021
3,Good projects and onsite teams,Micromanagement and less compensation/total rewards policy,Associate Solution Advisor,8,Dec,2021
4,Good company Big Hard working,"Consultancy long hours intense, competitive and Not transparent",Director,8,Dec,2021
5,"Organization's work culture
Employee benefits
good perks offered
professional lifestyle
incentives are good","project-related issues
work-life balance
shift schedules
saturation in learning
no cross skilling or less learning opportunities",BTA Analyst,8,Dec,2021
6,Good seniors managers good benefits,Work timings at times are bit bad,Analyst,8,Dec,2021
7,Good work culture can be,Work pressure can be there,Consulting,8,Dec,2021
8,"The pay was fair and people where supportive
Meetings were kept short and to the point",Too many platforms/channels of communication,Senior Manager,8,Dec,2021
9,Great company to work for,"Toxic environment in few teams, but this can happen at any company",Audit Senior Associate,8,Dec,2021
10,Great people to work with. Cares about their practitioners.,Pay is low for hours worked.,Consultant,3,Jun,2021
11,"- Kind people
- Strong pay
- Good brand reputation",Each individual is focused on completing their tasks; can be hard to feel your job has strong purpose that creates socially good value,Tax Consultant I,3,Jun,2021
12,"Have great internal tools to use, both for admin and non-admin purposes, lots of opportunity for further learning/trainings",Long working hours for low pay,Senior Consultant,3,Jun,2021
13,"Great compensation and great teams, lots of variety in projects","team dynamics can change, but new projects and teams avail",Senior Consultant,19,May,2021
14,Smart personable professionals; flexibility in work life balance.,Demanding deadlines; Demanding Senior Management.,Senior Specialist,19,May,2021
15,The consulting practice is strong and solid,Limited flexibility on career options,Analyst,19,May,2021
16,good benefits and generous PTO,"bad WLB, uncompetitive pay. Company structure is so convoluted and complex that you spend an entire year just trying to understand the org chart before you can really build a network",Consultant,3,Jun,2021
17,"Consulting isn't the best, Deloitte is ok and potential for good opportunities","Too big, resource management not focused on pairing analysts with the right projects.",Business Analyst,18,May,2021
18,Flexible work schedule and great benefits. Opportunity to work from home even before covid.,Work-life balance can be challenging.,Anonymous Employee,19,May,2021
19,"Good base salary, nice and supporting culture so far","not yet, I've started less than a year",Project Delivery Specialist II,19,May,2021
