,pros,negs,profession,day,month,year
0,Good benefits for US employees,Culture needs improvement big time,Consultant,8,Dec,2021
1,"Strong people valorization.
They make you feel welcome.
You can really be yourself there.","They are kind of new in IMS, so they still finding their way.",Senior Storage Administrator,8,Dec,2021
2,It is a great place to start your career,Long hours all year round,Audit Senior Assistant,8,Dec,2021
3,The low-level colleagues are the most genuine people.,Partners will lie and steal from their staff while saying the opposite.,Anonymous Employee,22,Dec,2021
4,"A diverse workforce. Working in Global has allowed me to flex my hours to my liking. Lots of opportunity to get involved in internal projects - many people have been promoted off the back of this.

Once you are a manager/senior consultant equivalent, you get an additional £5,100 cash allowance to use on benefits, or you can take the cash to bump up your salary (taxed)

Honestly the best place I've ever worked and have learned so much here. It's also very easy to move around once you are in the firm.","Promotion cycles are long and only happen once a year (if not in Consulting - twice a year if you are) Feels like you have to jump through hoops or know someone to get the promotion. You also have to be working at the next grade for 12 months before the promotional case can begin so in effect sometimes you are waiting 2 years for it to happen!

The salary increases are crappy. It's best to join the firm on as much as possible as YoY the increases are very small. Bonuses aren't great either.",Global Marketing Manager,30,Nov,2021
5,"Fantastic team atmosphere, great learning experience","Long working hours, tough deadlines",Tax Consultant,3,Dec,2021
6,"Great company culture
Welcoming and supportive team",Sometimes I’ve had to work long hours even though they tell you not to as a grad,Graduate Consultant,7,Dec,2021
7,"Awesome benefits 
Excellent leadership support
Good hikes 
Good employee support & wellness programs",Work life balance can’t be expected,Operations Analyst,7,Dec,2021
8,Diverse work opportunities. Good team culture.,"Minimal salary, unpaid overtime, high turnover.",Senior Analyst,7,Dec,2021
9,"Flexibility, benefits, compensation, Trainings, etc","Busy projects, too much work, etc, etc, etc",Consultant,7,Dec,2021
10,"Well-being focus, people focused. Encouragement to take time off. Positive leaders. Effective mentorship.","If you’ve never been a consultant before, it is an interesting world to enter. But once you’re in it, it is so interesting.",Consultant,6,Dec,2021
11,"Prestigious firm 
Amazing pay and benefits","Hard work and long hours
Typical consulting",Consultant,6,Dec,2021
12,"Love the culture, leadership is typically really involved, coworkers are pleasant to work with",Feels like a constant race,Consultant,7,Dec,2021
13,Deloitte awards those who work hard.,"Time management isn’t a thing here, you live to work.",Senior Manager,7,Dec,2021
14,Great corporate culture. Great benefits.,Nature of the work is mundane.,Auditor,7,Dec,2021
15,Gets your career started off right,A little slow moving upward,Associate Consultant,7,Dec,2021
16,"Great place, excellent benefits, people are ridiculously smart.",Matrix organization and audit culture make it hard to innovate quickly,Associate Director,7,Dec,2021
17,good exposure to interesting client work,there is poor work life balance,Manager,22,Dec,2021
18,Great experience to work with big name clients and a variety of tax work,Long Hours and low pay,Tax Consultant II,22,Dec,2021
19,"Great people, good firm and practice. Really tries to listen to people's needs and support preferences.",Work load or hours could be unreasonable occasionally,Accounting and Reporting Manager,7,Dec,2021
20,"Good benefits and learning development, ymmv",It is alright not great,Consultant,6,Dec,2021
21,Excellent on work life balance,Career growth is highly competitive,Senior Manager,6,Dec,2021
22,Lots of great benefits and a great atmosphere,A big firm so it is hard to feel like you fit in right away,Auditor,6,Dec,2021
23,"Insightful, Inspiring, Collaborative, Unlimited resources and guidance.",Prepare to give away your personal life. No diversity. Pay your Auditors.,Audit Senior Assistant,5,Dec,2021
24,Good opportunities to jump start your career,Long hours and can quickly burn out,Consultant,6,Dec,2021
25,Work anywhere in the United states,No work life balance at any time,Consultant,19,Dec,2021
26,There are lots of big clients,working hours and work-life balance are pretty bad,Tax Senior Associate,20,Dec,2021
27,Great place to start your career and learn quickly within a short period of time.,"Long hours, stressful work environment, and requires a lot of self-learning.",Tax Senior Manager,20,Dec,2021
28,Good experience for college grads,Not great pay and there is high turnover for better jobs after a year or so,Senior Consultant,20,Dec,2021
29,Excellent opportunities for career progression & growth,"1) Pay inequity within the firm and as compared to the market, 2) poor work-life balance",Manager,20,Dec,2021
30,Excellent opportunities for career progression & growth,"1) Pay inequity within the firm and as compared to the market, 2) poor work-life balance",Manager,20,Dec,2021
31,"great benefits, focus on diversity & inclusion, a sincere focus on wellbeing (on some teams)","salary for internal services is lacking compared to what they pay client-facing practitioners (sometimes for essentially equivalent skills/work), ladder-climbers are often promoted even when they engage in behaviors that seem antithetical to the firm's values (aggressive self-promoters get ahead, while those quietly doing great work are overlooked)",Lead Development Specialist,3,Dec,2021
32,Good place to work and good environment,"Nothing to say here, good company",Consultant,4,Dec,2021
33,"great benefits, good culture if you buy into it",fell like a corporate sellout but I was able to get a lot of good benefits,Graduate Student,18,Dec,2021
34,"Working environment, leaders and culture",Nothing i could say about,Manager,4,Dec,2021
35,"good career growth
good compensation
good management
supportive culture
nice training","less work life balance
stressful environment sometimes
not flexible 
location issue
less salary growth",Senior Consultant,3,Dec,2021
36,"People are amazing, intelligent, and fun
Love figuring out each client’s unique needs and developing the right solution for them
Travel","Lack of life / work balance
High burn projects
Overwhelming amount of communication",Manager Consultant,4,Dec,2021
37,"Opportunity to grow in a fast-paced environment. Travel opportunities, work from home and work flexibility",Challenging at times however a lot of mentor-ship from upper management.,ERS Senior Consultant,2,Dec,2021
38,"Benefits, PTO, wellness subsidy, experience, some teams",Work-life balance was very difficult,Senior Consultant,3,Dec,2021
39,"Good Culture, Experienced Seniors, Great Benefits","Long Hours at times
Tax Season is Hectic",Consultant,29,Nov,2021
40,Great benefits and great culture,The projects can sometimes be overwhelming,Consultant,3,Dec,2021
41,Deloitte has a very inclusive and great company culture,Government work can be slow and boring,Senior Consultant,3,Dec,2021
42,"Opportunity, consistent and great benefits.",Upward mobility was not clear.,Consultant,3,Dec,2021
43,"- Work with smart, ambitious people 
- Name brand 
- Opportunity for high-profile projects / clients if you perform well and are willing to sacrifice","- No work/life balance; rife with gunners 
- Arrogance is common 
- Impersonal / tribal / camera-off / transactional; minimal team mentality",Senior Consultant,17,Dec,2021
44,high profile cases and clients. Interesting work,lots of busywork. Too much bureaucracy,Senior Associate,17,Dec,2021
45,Laid back and very easy,Haven’t San across a con yet,Software Engineer,17,Dec,2021
46,Deloitte has a large number of resources due to their size and prestige. They're able to offer many perks and incentives in a short period of time because they simply can. There are also a lot of project opportunities to choose from.,With a big 4 firm comes higher expectations and longer working hours. You will also never escape the politics of working for a consulting firm.,Senior Consultant,29,Nov,2021
47,"1. Great culture, people
2. Great compensation depending upon your skill
3. Networking is at the heart of the company culture and even the directors, partners are approachable
4. Fantastic leave policy (specially for family or maternity leave)","1. Competitive environment
2. Selling/Client is everyone's top priority (it's a consulting firm)",Salesforce Architect,1,Dec,2021
48,"Great team, benefits and over all great company to work for.",Work life balance and compensation,Analyst,2,Dec,2021
49,"Diversity, variety, challenge, development, scope","Work life balance, travel, clients",Management Consulting Manager,2,Dec,2021
50,"Diversity, variety, challenge, development, scope","Work life balance, travel, clients",Management Consulting Manager,2,Dec,2021
51,"Large international company that has opportunities in various lines of businesses and if you are willing to commit and put an effort, you will find the right opportunity in the organization.",Sometimes you may end up being at the bottom of the ladder and in that case it would be hard to clime,"Manager, Global Procurement",1,Dec,2021
52,Great team. healthy environment. multiple opportunities,ok compensation (but not if you coming straight out of college),Consultant,2,Dec,2021
53,Training and DU were great.,People are dispassionate. It didn’t feel like we made a real impact for our clients.,Consultant,2,Dec,2021
54,"Name, exit opportunities, and people",Work life balance and pay,Audit Associate,5,Jan,2022
55,good feedback system and leadership,hours are extreme in busy season,Auditor,30,Nov,2021
56,Excellent experience in wide variety of areas,"Extremely short staffed currently resulting in multiple rounds of busy season a year
Long hours, tight deadlines",Senior Auditor,14,Dec,2021
57,Nice people who genuinely care,Average benefits — could use student loan assistance,Lawyer,30,Nov,2021
58,"People, Culture, and Benefits are great. Minnesota nice is definitely a concept within the Minneapolis office and the clientele is very diverse in industry.","Like any big 4 firm, you will have some long hours, but that is par for the course.",Tax Consultant- II,1,Dec,2021
59,Good Resources with a company that is well known,They drive all their business sectors as if you were working within the financial sector with all its strict reporting requirements,Senior Systems Administrator,1,Dec,2021
60,flexible work environment - work from home,Marketing management is not tied into market trends,Senior Marketing-Manager,15,Dec,2021
61,flexible working hours， extended pto and holiday,long working hours and low pay,Senior Consultant,29,Nov,2021
62,good place to build a career,competitive amongst most levels of staff,Consultant,30,Nov,2021
63,Great learning opportunities. Smart people to work with,Long hours of work. Ok work/life balance,Specialist,30,Nov,2021
64,"good benefits, competitive pay for Orlando/Central Florida area",Most projects will work you into the ground as a campus-hire business analyst,Business Analyst,13,Dec,2021
65,Good learning environment. You are equipped with extended learning resources. Certifications are free. And opportunity for self improvement is limitless.,Bad pay for working long hours,Advisory Consultant,14,Dec,2021
66,"They really care about their people! They encourage balance between work and home, value DEI, and reward and acknowledge the work you do. The people are easy to work with and there are lots of projects and opportunities to challenge yourself",Absolutely none that I can think of,Anonymous,28,Nov,2021
67,good people and hours and compensation,"repetitive projects, low bonuses, firing during covid",Senior Consultant,28,Nov,2021
68,"Hybrid remote, lots of PTO, good benefits",long hours during busy seasons,Senior Consultant,29,Nov,2021
69,"They adjust quickly to reflect market trends, good exit opportunities","Long hours, understaffed, get thrown into a lot of situations without proper training",Audit Staff,27,Nov,2021
70,great people at the firm,long hours during busy season,Staff Accountant,29,Nov,2021
71,Opportunities to work on Challenging projects and multiple clients,Meeting hours and contribution requirement,PROJECT DELIVERY SENIOR ANALYST,29,Nov,2021
72,Paymaster. Excellent salary and bonus,Too much workload. min 14-16 hours a day,Senior Consultant,30,Dec,2021
73,Lots of ability to move around and try new things,Management loves leading us on and not responding to feedback,Analyst,26,Nov,2021
