,pros,negs,profession,day,month,year
0,Very best environment lovely people,Lots of work you'll be Milked hard,Tax Graduate,5,Dec,2021
1,"Great learning environment, especially for folks who are straight out of school","Long working hours, experience dependent on the leader or practice one is working in",Senior Manager,6,Dec,2021
2,"Everything is good here, nothing to complain",No cons as of now,Senior Consultant,6,Dec,2021
3,"Supportive teams, seniors, managers and partners. Good working ambiance and environment",All the typical cons in consulting firm,Transfer Pricing Associate,7,Dec,2021
4,"Good work life balance, best pay, supportive management",Compared to other players in the market none,Internal Auditor,7,Dec,2021
5,"Hybrid working model, opportunities for development, policies, structure","Workload, demading environment, strict compliance",Director,7,Dec,2021
6,"Very employee friendly especially for family 
Understanding leadership
Good benefits","Reporting structure is confusing
Mid management is very political",Consultant,7,Dec,2021
7,Salary is good. You get other benifits also.,Work Culture is not good.,Anonymous Employee,22,Dec,2021
8,"Nice office, variety of work","Work life balance, culture, training, performance indicators",Analyst,11,Jan,2022
9,"Flexible schedule, good work environment",Some of the projects are really bad managed,Business Intelligence Consultant,6,Dec,2021
10,great company to work for early in your career,upper management take very little interest in day to day management of projects after initial deal is closed,Specialist Master,1,Apr,2021
11,Pay is fair for the work,Workload is sometimes larger than expected,Analyst,15,Apr,2021
12,"Big company, lot of perks",Can get very very busy,Accountant,15,Apr,2021
13,"Good support network, good organizational structure","Bad Culture and senior management, lots of red tape",Senior Analyst,15,Apr,2021
14,"Flexible, Growth and Exposure to various size companies","Long hours, very political environment, Managers created toxic environment, favoritism, bias towards minority group and favoring young females, Deceptive and ethical management, absolutely no decency towards fellow human being, uncivilized behavior.",Tax Consultant,3,May,2021
15,"Cares a lot about its practitioners, we are treated all equally. Great opportunities within the firm.","I really enjoy my time with the firm, no cons I think about. This is a place for hard workers, if you want your typical 8 hour days and want to collect a pay check only, this is not the place for you.",Solution Specialist,31,Mar,2021
16,"Great benefits 
Great culture 
Fabulous networking","No career growth
Favoritism
Long hours
Pay for Parking 
NA",Executive Coordinator,31,Mar,2021
17,Tons of area for growth and new areas to explore. Leadership is very open about news and updates. yearly health benefits is nice but could be better.,Not a lot of onboarding or ramping up (started in the beginning of Covid). 401K match is terrible.,Functional ERP Implementation Consultant,31,Mar,2021
18,great people at the firm,i can’t think of any cons,Business Analyst,31,Mar,2021
19,I enjoy working at Deloitte.,I like working at Deloitte.,Audit Senior,31,Mar,2021
20,Great opportunity. Different kinds of client. Management appreciate your work. Employee benefit is pretty good.,Not very high compensation. Work life balance is as bad as other big 4s. ;(,Tax Senior Associate,27,Mar,2021
21,"Progressive company, excellent benefits and people",Lots of hours worked required,Immigration Specialist,31,Mar,2021
22,abundant resources and business exposure,relatively low pay and long hours,Auditor,31,Mar,2021
23,Emphasis on finding purpose driven work,May be difficult to keep hours to just 40 per week.,Applications Architect,31,Mar,2021
24,"The people on average are great to work with; hardworking and communicative. You get to learn about many different industries and technologies, making it an ideal job for somebody out of college or those who don't want to specialize. You develop a strong network after working on numerous client engagements, making exit opportunities easier to come by.","Depending on the project, hours can get very long and morale takes a hit. The fast-paced environment never seems to cease, and currently PTO counts against you in terms of your evaluation against your peers.",Analyst,31,Mar,2021
25,"Strong compensation; Generally good flexibility; ""Choose-your-own-adventure"" career structure",Up-or-out culture; Sales and networking prioritized over expertise,Manager,31,Mar,2021
