,pros,negs,profession,day,month,year
0,Lot of exposure to Indian as well as global clients. Good work culture but again depends a lot on the team. Great benefits during covid as well as otherwise. Yearly bonus is also provided.,"Less growth
There can be more transparency around appraisal system.",Manager,9,Dec,2021
1,Hike and leaves Hike and leaves Hike and leaves Hike and leaves Hike and leaves,"Work - life balance ,timings and expectations",Associate Analyst,10,Dec,2021
2,Salary is good. Good working conditions.leave policy ks good,Its about work load.I can see many people are complaining about work load,Consultant,10,Dec,2021
3,"- Compensation
- Brand name
- Employee support in case of unforeseen situations","- Performance payout is yearly
- Networking with managers is more important for your appraisals and promotions",Anonymous Employee,10,Dec,2021
4,"Well-known company
Kind and approachable people
Enhanced your abilities","No work-life balance
Lack of staff for engagements
Too many engagements for each staff",Auditor,10,Dec,2021
5,Stable company with good benefits and internal systems supporting your everyday tasks.,Salary in this region is not the best.,Project Coordinator,10,Dec,2021
6,In the right place there are some interesting projects,Underlining senior management - not very imaginative,Senior Manager,24,Dec,2021
7,"Awesome work culture
Other perks
A lot of fun activities","Less salary
Less learning
Limited leaves
Still working on older version of many tools and technologies",Robotic Process Automation (RPA) Developer,8,Dec,2021
8,Good Company to Start your career with,Work Life balance can take a toss Sometimes,Analyst,8,Dec,2021
9,"Work Culture
Growth Prospects
Market based Salaries","Work Life Balance
Extra Work ( Some times - Depends)",Assistant Manager,8,Dec,2021
10,So many opportunities to grow,The push for community involvement/corporate responsibilities can be overbearing when your daily workflow is interrupted by these firm agendas.,Senior Manager,25,Aug,2022
11,"- Open-ended career transition
- Super nice individuals that help your career trajectory
- emphasis on developing professional worth",- sometimes can seem strictly work related,Risk and Financial Advisory Analyst,25,Aug,2022
12,Name brand company that operates at a level that hides their core unethical business practices.,Withdrew job offer one day before start,Database Administrator,28,Sep,2022
13,"Good benefits, opportunities for learning","Leadership is hypocritical, people work too much to connect",Business Analyst,24,Aug,2022
14,"Great clients, opportunities and benefits",Poor resource allocation - likely to get stuck on a project you’re not interested in,Financial Risk and Advisory Consultant,25,Aug,2022
15,"-senior management work hard to make the staffing process as smooth as possible
-very friendly and helpful colleagues",-nothing I can think of,Consultant,23,Aug,2022
16,"Flexible work schedule, work from home allowed","Lots of hours, low salary,",Tax Senior,24,Aug,2022
17,Good pay and benefits are good,Hours and lack of interest in work at times,Analyst,24,Aug,2022
18,"Deloitte has many good benefits for its employees such as disconnect week in December, wellbeing subsidiaries, hybrid commuting reimbursements.. I think it is also very flexible because you have a period of time that's busy but you also have a work life balance (when it is not busy season). It really depends on your client and your team dynamic.",Long hours of work. Not the best work-life balance,Senior Auditor,24,Aug,2022
19,this company is nice company,there is nothing to say,Senior Tax Consultant,22,Aug,2022
20,this company is nice company,there is nothing to say,Senior Tax Consultant,22,Aug,2022
21,"Pretty good, cares about the employees.",I think this is a very decent place to start your career straight out of college.,Business Analyst,23,Aug,2022
22,"Supportive management, interesting work, flexible WFH options",Billable hours (but typical with Big 4),Indirect Tax Manager,23,Aug,2022
23,"Hybrid option 
Competitive pay and benefits
Opportunities for professional growth",Partner-driven culture may lead to burnout if not on that track,Audit Senior Manager,23,Aug,2022
24,"Pay, experience, industry knowledge are all good.","Long hours, much ""community service"" required.",Data Scientist,6,Sep,2022
25,"Lots of people to connect with.
Work for a big company in any city you want.",First few weeks are weird when you aren’t initially staffed on a project.,Application and Programming Analyst,22,Aug,2022
26,Good support system and lots to learn,Long working hours and lack of lateral growth,Senior Manager,5,Sep,2022
27,Pay is great. Encourages staff to upgrade their skills,No worklife balance. Had to deal with a lot of office politics,Consultant,24,Sep,2022
28,Ran into some good people at first...,"During the first half of Nov 2018, this company provided me with a terrible and an unreasonable workplace experience, particularly while I was being transferred to one of their global teams abroad. That's a fact. It's also my opinion and it's a solid one based upon what I experienced.",Risk and Financial Advisory Consultant,24,Sep,2022
29,"- life/work balance
- good pay","- demanding culture
- less opportunity to grow",Business Intelligence Analyst,19,Aug,2022
30,The projects that I have worked on are interesting. Cool work perks,Getting a project can be difficult for a first year consultant.,Consultant,1,Sep,2022
31,"Remote work
Great Benefits
Possibility to Travel",Hours can be too much,Consultant,17,Aug,2022
32,"Compensation, culture, autonomy, flexibility and incentives are amazing",Lots of unnecessary process and regulations can be complicated,Lead Recruiter,18,Aug,2022
33,"Good organization to work for, very thorough working environment.",Leadership can sometimes be too demanding and it could sometimes feel like a hierarchy.,Lead Compliance Analyst,18,Aug,2022
34,upgrade to senior and quit,"lots of managers, very little juniors",Consultant,21,Sep,2022
35,Exposure to various clients and architecture. Prior experience with cloud technologies is advised since most of the client architecture is built US team's add on small bits and pieces more on mostly supporting architecture. Very clear policy's and straight forward work easy to navigate.,Most of the heavy design and implementation is done by India team so its hard for some US team members to understand issues when they arise,Solution's Specialist,14,Aug,2022
36,Great management on all project teams,No cons so far working here,Senior Consultant,16,Aug,2022
37,"Great benefits, in addition to the obvious includes $1,000 health subsidy, $1000 hybrid commuting expenses, wealth accumulation, work life balance",You might slip if you are not proactive in your career at Deloitte.,Senior Consultant,16,Aug,2022
38,"Amazing teams, managers that want to promote your growth, and challenging projects that offer skills. Constant L&D programs and certification support. Fantastic benefits. Great salary & bonus.","Different talent models. Try to steer clear of anything outside of Core/Traditional because although the pay is similar, the benefits are far less.",Senior Consultant,12,Aug,2022
39,Learning opportunities were immense here.,Work life balance not too good.,Anonymous Employee,17,Aug,2022
40,"Brand, Salary, Exposure to other corporations",401k match is too low.,Solutions Specialist,17,Aug,2022
41,"Opportunity, culture, hands on with current technology",Management can be confusing sometimes.,Studio Staff,17,Aug,2022
42,"Really good benefits, including well-being subsidy, working from home hybrid flexibility, catered meals, etc. Pay is catching up to market rate, although it's not the best around it is also not the lowest. Does have great growth and opportunities to progress and work on a variety of clients across the globe.","Understaffed offices means long hours with few breaks. Turnover is so high that client and project assignments never stay the same, they can change within minutes of a higher-up decision. The closer to deadlines, the less patience you are given. More and More work keeps being added on despite short staffing.",Tax Staff Accountant,30,Aug,2022
43,"Pros at Deloitte are salary, networking and travel.","Cons at Deloitte are team leads, management, work balance, late meetings, long hours (50+ hrs a week)",Business Technology Analyst,31,Aug,2022
44,"Flexible hours, work from home for many roles",Limited training/development opportunities for some roles,Senior Manager,31,Aug,2022
45,great place to work nice benefits,long hours and limited time off,Consultant,31,Aug,2022
46,Great place to start your career,No con at all yet,Analyst,15,Aug,2022
47,Great company to work with. Very positive,None... Just dont see any problem with the company.,Manager,15,Aug,2022
48,Great company with work life balance,Hard to want to leave,Senior Business Analyst,16,Aug,2022
49,People here are really great,Everyone is in competition with each other,Staff Accountant,16,Aug,2022
50,People here are really great,Everyone is in competition with each other,Staff Accountant,16,Aug,2022
51,Amazing learning opportunities. Incredible talent at the company.,"Team cultures, and managers can vary. It's important to advocate for yourself.",Audit In-charge,16,Aug,2022
52,Great work life balance and wellness emphasis,Inflation adjustment missing and entry level not eligible for performance bonus,Analyst,16,Aug,2022
53,"Good employee employer relationship
Good salary","Intense working hours
No work life balance",External Auditor,16,Aug,2022
54,Great place to start working,Need to move on after 3 years,Project Manager,16,Aug,2022
55,Deloitte helps you build a solid career in Consulting by providing opportunities to grow as a consultant.,There is nothing bad about this organization.,Senior Consultant,14,Aug,2022
56,Develops you professionally and makes you incredibly disciplined,"Company is huge, hard to navigate performance management",Consultant,15,Aug,2022
57,"Easy internal IT systems to work with, lean performance review system",depends a lot on the partner you work for,Senior Manager,15,Aug,2022
58,Good networking opportunities and good culture for young people,Not the best to be honest,Consultant,29,Aug,2022
59,"Smart people
Good infrastructure 
Good name
Good projects","Politics 
Bad trust 
Pay
Benefits",Senior Consultant,30,Aug,2022
60,"Great benefits, they care about people, always leveraging technology for efficiency","Feels too big sometimes, allot of the work can be tactical and not seem meaningful, politics and relationships trump contributions and effort.",Senior Manager,15,Aug,2022
61,"- Impact Driven Company
- Amazing Colleagues
- Top Tier Benefits","- Not the most competitive pay (depending on the team)
- Sometimes unreasonable expectations for work outside of primary role
- High variability in employee experiences based on the project you're on",Manager,15,Aug,2022
62,"Lots of smart people, young coworkers, college vibe, nice perks, and great exit opportunities","Terrible wlb, very little respect for first year associates from management",Audit Senior Assistant (Second Year),28,Aug,2022
63,"Great company and benefits, work culture",Under paid and hard to advance,Engagement Financial Advisor (EFA) Analyst,14,Aug,2022
64,"Great skills training, 401k and Pension, Health Benefits, friendly and straightforward team members, salary and incentives are good but not great","Clients and Deloitte may expect long hours, especially dependent on your role. Some, though not all, companies in industry pay better.",Advisory Consultant,13,Aug,2022
65,Learning opportunities and fast paced environment.,Long hours and not the best pay.,Tax Senior,14,Aug,2022
66,"- Steep Learning Curve 
-Challenging yet rewarding work 
- Collaborate with a team","-Lots of hours
-High stress at times
- low work life balance/emphasis on mental health",Senior Audit Assistant,25,Aug,2022
67,"Excellent personal growth opportunities, great people.",Hard to change projects in the DS&J space,Consultant,13,Aug,2022
68,"Ample PTO with decent rollover capability
Corporate Amex Usage
Maternity leave is 24-26 weeks (!!) 
Second phone
The first time you go to DU
Variety of projects and clients 
Social events","Attracts the competitive type, lack of transparency in year end reviews, endless comparison to peers. 401k match is 1.5%. To succeed (I.e., raises and promotion) its more what you do to help PPMDs than clients. 

I can’t recommend Deloitte to any level higher than a senior consultant. The politics coming in as an experienced hire any higher will make it difficult to immerse and succeed. 

I left for a competitor and the easiest way I describe the difference is that at my current employer I am recognized for the work I do; while at Deloitte I was constantly reminded of how much more work I could be doing.",Senior Consultant,4,Aug,2022
69,Great place to gain experience for those new to the industry.,High turnover and questionable admin decisions can lead to high mental stress.,Senior Tax Consultant,13,Aug,2022
70,"Great benefits, perks, work & life balance","Career growth,. Sometimes there are lots of job openings. But extremely hard to move into them.",Sr. Recruiting Specialist,12,Aug,2022
71,"Fun, Rewarding Environment & Good Pay",Not Good work life balance,Consulting Actuary,12,Aug,2022
72,Work life balance and pushing wellness for all employees.,A lot of hours and can be tough if you are not prepared for challenging work,Audit Associate,11,Aug,2022
73,Remote work so can work from home.,Your ideas are not your own.,Solutions Analyst,10,Aug,2022
74,"Great people, positive culture, opportunities are there if you put in more effort to advertise yourself","Long work hours, best is usually not enough, youre not recognized for incurring additional time",Advisory Senior Manager,11,Aug,2022
75,"The people, the work, and the benefits",The pay could be better. Make sure to negotiate your salary.,Consultant,11,Aug,2022
76,Good people and competitive pay,Long hours and pressure to work,Senior Audit Associate,11,Aug,2022
77,Wonderful people to work for,Don't allow Full time students to grow,Cook,11,Aug,2022
78,Nice job and nice people,Long long and long hours,Director,25,Aug,2022
79,"Deloitte is a huge ocean, opportunities are potenially endless. However, with the right climate, career growth and gratification can be attained! When I say climate, meaning supportive leadership, self-interest, and compensation are all aligned; Deloitte can be a pinnacle of oppurunities!","Some instances of over-promising goals and under-delivering to clients, leave consultants overwhelmed.",Solution Specialist,10,Aug,2022
